SENSORNAME,MODIS/AQUA
PIXELMETERS,250
BAND,RED
WAVE,RSR
613.3005,0.01
614.9855,0.02499975
617.9669,0.16645975
619.9886,0.38628725
622.9658,0.69467775
624.9765,0.76504675
627.9829,0.776271
629.9695,0.78261775
632.9832,0.7875
634.9731,0.793787
637.9685,0.808209
639.969,0.82016525
642.9802,0.84278075
644.9682,0.8649535
647.9722,0.90572875
649.9854,0.92164625
652.9899,0.96936825
654.967,0.991106
657.976,1
659.9895,0.96357725
662.9664,0.81087325
664.9664,0.724398
667.974,0.545012
669.9767,0.39265175
672.9728,0.179557
674.9848,0.09366375
677.9862,0.032034
679.9808,0.01486025
681.4409,0.01
BAND,NIR
WAVE,RSR
820.0322,0.01071275
822.0051,0.02552575
824.0037,0.04518375
826.9963,0.09122075
828.9936,0.13188525
831.9895,0.212538
833.9851,0.29018775
836.9896,0.48041875
838.9948,0.6498825
841.9997,0.8675345
844.0025,0.965744
846.9965,0.99066175
848.9913,0.9823305
851.9867,0.971608
854.0024,0.96791025
856.9861,0.9748235
858.9886,0.97099025
861.9994,0.992789
863.9938,0.9824675
867.0015,0.95600175
868.9833,0.90912225
871.9843,0.77146675
873.9937,0.6233775
877.0067,0.33842675
878.9906,0.1909655
881.9873,0.085605
884.0002,0.05676625
886.9988,0.0369695
888.9841,0.03030175
891.9924,0.02304825
893.9979,0.01871425
896.9948,0.01240125
898.9871,0.010037
BAND,BLUE
WAVE,RSR
451.3119,0.01
451.7058,0.0158615
452.6856,0.035879
453.6964,0.087784
454.709,0.1964945
455.6937,0.3681915
456.7053,0.587889
457.6863,0.7850945
458.6915,0.9305565
459.6916,0.994768
460.6858,0.9976775
461.7009,0.9556435
462.7087,0.9042395
463.7095,0.869542
464.7036,0.861883
465.6919,0.863798
466.702,0.872136
467.7087,0.88824
468.687,0.9143665
469.6917,0.9329115
470.6979,0.9297585
471.7074,0.897432
472.6948,0.833042
473.6877,0.7247695
474.6868,0.5846615
475.6927,0.415773
476.7053,0.256944
477.6967,0.135474
478.6936,0.0615675
479.695,0.0260305
480.6998,0.011523158
481.2391,0.01
BAND,GREEN
WAVE,RSR
538.8214,0.01
539.7411,0.0161635
540.7255,0.0400675
541.7313,0.0917265
542.7304,0.186492
543.7491,0.328924
544.7339,0.508547
545.7384,0.6916045
546.7367,0.84218
547.7299,0.937831
548.7455,0.980856
549.733,0.992392
550.7463,0.997227
551.735,0.999241
552.7269,0.9925715
553.7495,0.985156
554.7253,0.9822295
555.7338,0.9790785
556.7492,0.9784515
557.7446,0.9773015
558.7462,0.9723745
559.726,0.9560845
560.7376,0.927286
561.725,0.8629685
562.7418,0.7610675
563.7314,0.6185245
564.7473,0.4499725
565.7331,0.273325
566.7422,0.1387215
567.7462,0.0563225
568.7438,0.0204205
568.9575,0.01
