SENSORNAME,SENTINEL2A
PIXELMETERS,10
BAND,BLUE
WAVE,RSR
440,0.001205888
441,0.002040369
442,0.002622943
443,0.002738239
444,0.002746267
445,0.002076292
446,0.003245683
447,0.002224086
448,0.002788526
449,0.003127464
450,0.002376761
451,0.003775739
452,0.002855863
453,0.003063208
454,0.00606979
455,0.009028311
456,0.019546756
457,0.038955457
458,0.084087582
459,0.176255447
460,0.292197461
461,0.364611634
462,0.382417769
463,0.385788698
464,0.393447498
465,0.400157587
466,0.410290956
467,0.424686229
468,0.449286442
469,0.481594435
470,0.505322972
471,0.523406072
472,0.529542808
473,0.534687923
474,0.53378568
475,0.534655585
476,0.538100358
477,0.543690952
478,0.557717041
479,0.578584682
480,0.601967211
481,0.616036805
482,0.621092399
483,0.613596882
484,0.596062382
485,0.575862788
486,0.558063043
487,0.546131078
488,0.54209908
489,0.553601967
490,0.571684349
491,0.59826863
492,0.633236261
493,0.673370128
494,0.711752423
495,0.738396013
496,0.758249128
497,0.768324786
498,0.773366977
499,0.780467611
500,0.788363273
501,0.795449465
502,0.80915086
503,0.824011214
504,0.837708797
505,0.844983399
506,0.847328129
507,0.840111452
508,0.825797103
509,0.804777753
510,0.786940349
511,0.77157774
512,0.761922541
513,0.765487222
514,0.781682215
515,0.810031414
516,0.850586321
517,0.901670684
518,0.954670055
519,0.987257367
520,1
521,0.986389206
522,0.908308105
523,0.724000074
524,0.478912868
525,0.286992071
526,0.1699762
527,0.102833112
528,0.06516336
529,0.041159879
530,0.025079521
531,0.013112047
532,0.002584728
533,0.001094622
534,0.000307621
535,0.000441445
BAND,GREEN
WAVE,RSR
537,0.000840124
538,0.016371608
539,0.037688294
540,0.080665026
541,0.169508863
542,0.341374391
543,0.573031109
544,0.746711409
545,0.828036215
546,0.868227545
547,0.888565006
548,0.891572433
549,0.878150361
550,0.860270532
551,0.843697821
552,0.83403461
553,0.832616875
554,0.844968248
555,0.867733874
556,0.897360859
557,0.933938145
558,0.966922619
559,0.990762023
560,1
561,0.9978116
562,0.981107343
563,0.947088021
564,0.907183271
565,0.86865614
566,0.837621551
567,0.812909776
568,0.792433535
569,0.7850998
570,0.789606081
571,0.807011178
572,0.830457678
573,0.846432825
574,0.858401768
575,0.857990221
576,0.799824045
577,0.624979915
578,0.38699351
579,0.200178754
580,0.098292953
581,0.042843571
582,0.01651236
BAND,RED
WAVE,RSR
646,0.002584161
647,0.034529234
648,0.149970293
649,0.464825627
650,0.81774561
651,0.965323761
652,0.983869281
653,0.996900219
654,1
655,0.995449387
656,0.991334334
657,0.977215143
658,0.936802357
659,0.873776426
660,0.814165825
661,0.776668942
662,0.764863979
663,0.77509069
664,0.801358663
665,0.830827664
666,0.857111548
667,0.883580858
668,0.908949643
669,0.934759132
670,0.955930529
671,0.968110072
672,0.973218918
673,0.971572352
674,0.969002767
675,0.965711927
676,0.960481316
677,0.944810855
678,0.884152441
679,0.706167011
680,0.422966946
681,0.189853092
682,0.063171769
683,0.020615018
684,0.00203356
BAND,NIR
WAVE,RSR
773,0.000450635
774,0.007613759
775,0.019071631
776,0.033498212
777,0.056535957
778,0.087148412
779,0.132460432
780,0.203435597
781,0.314067835
782,0.450084527
783,0.587432873
784,0.714518008
785,0.818289983
786,0.902931705
787,0.960731839
788,0.993723492
789,1
790,0.985213358
791,0.958375658
792,0.936550397
793,0.925816084
794,0.930376113
795,0.941280824
796,0.953344085
797,0.962183412
798,0.965630921
799,0.963105088
800,0.959009302
801,0.951205343
802,0.945147193
803,0.943136098
804,0.945814423
805,0.945357393
806,0.94376216
807,0.937084132
808,0.92789036
809,0.915897097
810,0.900979012
811,0.881577413
812,0.862159752
813,0.843199839
814,0.822684437
815,0.801818585
816,0.776911255
817,0.755631985
818,0.737893018
819,0.722216874
820,0.708669463
821,0.698415904
822,0.690210597
823,0.682257441
824,0.681493822
825,0.682648562
826,0.678490529
827,0.675950258
828,0.671303773
829,0.665537745
830,0.66081163
831,0.658738951
832,0.658309532
833,0.664070258
834,0.672731215
835,0.685500932
836,0.701159193
837,0.720686012
838,0.742291656
839,0.759530325
840,0.776608407
841,0.784061465
842,0.787719795
843,0.787693087
844,0.783525132
845,0.776160838
846,0.768338994
847,0.759263845
848,0.745942736
849,0.733021996
850,0.720589328
851,0.70666322
852,0.690869992
853,0.675896147
854,0.661558281
855,0.64933885
856,0.638008141
857,0.627423662
858,0.618963341
859,0.610944526
860,0.604321526
861,0.597408353
862,0.591723999
863,0.586961129
864,0.582746486
865,0.581201871
866,0.579479626
867,0.580196837
868,0.582505031
869,0.58530811
870,0.589480742
871,0.592827138
872,0.596748769
873,0.601371824
874,0.603233742
875,0.605476073
876,0.608971784
877,0.613462535
878,0.618715384
879,0.626840684
880,0.637435801
881,0.648790775
882,0.659233472
883,0.667340083
884,0.668623741
885,0.659923886
886,0.641665694
887,0.615841396
888,0.583567134
889,0.552075805
890,0.526406778
891,0.507116158
892,0.496530349
893,0.499119291
894,0.512088404
895,0.529092988
896,0.542739266
897,0.5379639
898,0.495953057
899,0.419304575
900,0.326791448
901,0.231084503
902,0.148540083
903,0.089683145
904,0.05497712
905,0.033245719
906,0.019774274
907,0.007847675
908,0.001285769
