SENSORNAME,VIIRS
PIXELMETERS,500
BAND,BLUE
WAVE,RSR
456,0.000265078
456.7,0.000275387
457.4,0.000266197
458.1,0.000277707
458.8,0.000289118
459.5,0.00030493
460.2,0.000314538
460.9,0.00032424
461.6,0.000335641
462.3,0.000360344
463,0.000385047
463.7,0.000420251
464.4,0.00048706
465.1,0.000589472
465.8,0.000749892
466.5,0.000910311
467.2,0.001077632
467.9,0.001338664
468.6,0.001650302
469.3,0.00196194
470,0.002473303
470.7,0.003259799
471.4,0.004914101
472.1,0.007597229
472.8,0.013533855
473.5,0.024746026
474.2,0.05038476
474.9,0.10643752
475.6,0.22203495
476.3,0.41161853
477,0.65369835
477.7,0.83834905
478.4,0.93708048
479.1,0.96183464
479.8,0.96332029
480.5,0.97737014
481.2,1
481.9,0.98035237
482.6,0.94673201
483.3,0.93730603
484,0.96083723
484.7,0.98197963
485.4,0.97681895
486.1,0.95253111
486.8,0.9192873
487.5,0.87807021
488.2,0.83963614
488.9,0.83346655
489.6,0.86673685
490.3,0.90462004
491,0.93415734
491.7,0.94122229
492.4,0.95096582
493.1,0.96909759
493.8,0.95888847
494.5,0.86138312
495.2,0.67760565
495.9,0.47893852
496.6,0.3028292
497.3,0.18992222
498,0.11668059
498.7,0.077143147
499.4,0.053863466
500.1,0.035408628
500.8,0.025511029
501.5,0.017904034
502.2,0.011922008
502.9,0.008782048
503.6,0.006516402
504.3,0.004722228
505,0.003361973
505.7,0.002507398
506.4,0.001842457
507.1,0.001364198
507.8,0.001152311
508.5,0.000995692
509.2,0.000861233
509.9,0.000726702
BAND,GREEN
WAVE,RSR
505.1,0.004274285
505.9,0.004311082
506.7,0.004347972
507.5,0.004384752
508.3,0.004421624
509.1,0.004458486
509.9,0.004495239
510.7,0.004532083
511.5,0.004569422
512.3,0.004622573
513.1,0.004675711
513.9,0.004728734
514.7,0.004781846
515.5,0.004789116
516.3,0.004867888
517.1,0.00494674
517.9,0.005025573
518.7,0.005104387
519.5,0.005183181
520.3,0.005134197
521.1,0.005284008
521.9,0.005433775
522.7,0.005583499
523.5,0.005797959
524.3,0.006077227
525.1,0.006356314
525.9,0.006635422
526.7,0.006914351
527.5,0.007560985
528.3,0.008428135
529.1,0.009294937
529.9,0.010359925
530.7,0.012053376
531.5,0.014250572
532.3,0.017882377
533.1,0.022289053
533.9,0.029138125
534.7,0.037447973
535.5,0.05595235
